"key","en","de","fr","ar","es","it"
"Unable to load request status.","Unable to load request status.","Anfragestatus konnte nicht geladen werden.","Impossible de charger l'état de la requête.","تعذر تحميل حالة الطلب.","No se pudo cargar el estado de la solicitud.","Impossibile caricare lo stato della richiesta."
"Unable to load requests","Unable to load requests","Anfragen konnten nicht geladen werden","Impossible de charger les demandes","تعذر تحميل الطلبات","No se pudieron cargar las solicitudes","Impossibile caricare le richieste"
"Unable to load services","Unable to load services","Services konnten nicht geladen werden","Impossible de charger les services","تعذر تحميل الخدمات","No se pudieron cargar los servicios","Impossibile caricare i servizi"
"Unable to reach the server.","Unable to reach the server.","Der Server konnte nicht erreicht werden.","Impossible de contacter le serveur.","تعذر الوصول إلى الخادم.","No se puede conectar con el servidor.","Impossibile raggiungere il server."
"Unable to read the saved session.","Unable to read the saved session.","Die gespeicherte Sitzung konnte nicht gelesen werden.","Impossible de lire la session enregistrée.","تعذر قراءة الجلسة المحفوظة.","No se pudo leer la sesión guardada.","Impossibile leggere la sessione salvata."
"Unable to resend the code.","Unable to resend the code.","Der Code konnte nicht erneut gesendet werden.","Impossible de renvoyer le code.","تعذر إعادة إرسال الرمز.","No se pudo reenviar el código.","Impossibile inviare nuovamente il codice."
"Unable to send a verification code.","Unable to send a verification code.","Der Bestätigungscode konnte nicht gesendet werden.","Impossible d’envoyer le code de vérification.","تعذر إرسال رمز التحقق.","No se pudo enviar el código de verificación.","Impossibile inviare il codice di verifica."
"Unable to update your profile.","Unable to update your profile.","Profil konnte nicht aktualisiert werden.","Impossible de mettre à jour le profil.","تعذر تحديث ملفك الشخصي.","No se pudo actualizar el perfil.","Impossibile aggiornare il profilo."
"Unable to verify the code.","Unable to verify the code.","Der Code konnte nicht bestätigt werden.","Impossible de vérifier le code.","تعذر التحقق من الرمز.","No se pudo verificar el código.","Impossibile verificare il codice."
"Unexpected network error.","Unexpected network error.","Unerwarteter Netzwerkfehler.","Erreur réseau inattendue.","خطأ غير متوقع في الشبكة.","Error de red inesperado.","Errore di rete imprevisto."
"Unknown","Unknown","Unbekannt","Inconnu","مجهول","Desconocido","Sconosciuto"
"Unknown additional charges error.","Unknown additional charges error.","Fehler: Unbekannte Zusatzgebühren.","Erreur liée à des frais supplémentaires inconnus.","خطأ في الرسوم الإضافية غير المعروفة.","Error por cargos adicionales desconocidos.","Errore sconosciuto relativo ai costi aggiuntivi."
"Unknown error.","Unknown error.","Unbekannter Fehler.","Erreur inconnue.","خطأ غير معروف.","Error desconocido.","Errore sconosciuto."
"Unknown offers error.","Unknown offers error.","Unbekannte Angebote Fehler.","Erreur d'offre inconnue.","يقدم موقع Unknown خطأً.","Error de ofertas desconocidas.","Errore sconosciuto relativo alle offerte."
"Unknown payment method error.","Unknown payment method error.","Fehler: Unbekannte Zahlungsmethode.","Erreur de mode de paiement inconnu.","خطأ في طريقة الدفع غير المعروفة.","Error en el método de pago desconocido.","Errore sconosciuto relativo al metodo di pagamento."
"Unknown service","Unknown service","Unbekannter Dienst","Service inconnu","خدمة غير معروفة","Servicio desconocido","Servizio sconosciuto"
"Unknown status error.","Unknown status error.","Unbekannter Statusfehler.","Erreur d'état inconnue.","خطأ في الحالة غير معروف.","Error de estado desconocido.","Errore di stato sconosciuto."
"Unknown tracking error.","Unknown tracking error.","Unbekannter Tracking-Fehler.","Erreur de suivi inconnue.","خطأ تتبع غير معروف.","Error de seguimiento desconocido.","Errore di tracciamento sconosciuto."
"Update your account details below.","Update your account details below.","Aktualisieren Sie unten Ihre Kontodaten.","Mettez à jour les informations de votre compte ci-dessous.","حدّث تفاصيل حسابك أدناه.","Actualiza los datos de tu cuenta a continuación.","Aggiorna qui sotto i dati del tuo account."
"Updated: {{time}}","Updated: {{time}}","Aktualisiert: {{time}}","Mise à jour : {{time}}","تم التحديث: {{time}}","Actualizado: {{time}}","Aggiornato: {{time}}"
"Upload Photos","Upload Photos","Fotos hochladen","Télécharger des photos","تحميل الصور","Subir fotos","Carica foto"
"Upload at least one photo so drivers can estimate handling and loading support.","Upload at least one photo so drivers can estimate handling and loading support.","Laden Sie mindestens ein Foto hoch, damit die Fahrer die Handhabung und die Beladungsunterstützung einschätzen können.","Veuillez télécharger au moins une photo afin que les chauffeurs puissent estimer les capacités de manutention et de chargement.","قم بتحميل صورة واحدة على الأقل حتى يتمكن السائقون من تقدير قدرة المناولة ودعم التحميل.","Suba al menos una foto para que los conductores puedan estimar la capacidad de manejo y carga.","Carica almeno una foto per permettere agli autisti di valutare le esigenze di movimentazione e carico."
"Uploading photos...","Uploading photos...","Fotos werden hochgeladen...","Téléchargement des photos...","جارٍ تحميل الصور...","Subiendo fotos...","Caricamento foto..."
"Use Apple Pay in a development build or production build.","Use Apple Pay in a development build or production build.","Verwenden Sie Apple Pay in einem Entwicklungs- oder Produktions-Build.","Utilisez Apple Pay dans une version de développement ou une version de production.","استخدم Apple Pay في إصدار التطوير أو إصدار الإنتاج.","Utilice Apple Pay en una compilación de desarrollo o en una compilación de producción.","Usa Apple Pay in una build di sviluppo o di produzione."
"Use Current Location","Use Current Location","Aktuellen Standort verwenden","Utiliser l'emplacement actuel","استخدم موقعي الحالي","Usar ubicación actual","Usa posizione attuale"
"Use Google Pay in a development build or production build.","Use Google Pay in a development build or production build.","Verwenden Sie Google Pay in einem Entwicklungs- oder Produktions-Build.","Utilisez Google Pay dans une version de développement ou une version de production.","استخدم Google Pay في إصدار التطوير أو إصدار الإنتاج.","Utilice Google Pay en una compilación de desarrollo o en una compilación de producción.","Usa Google Pay in una build di sviluppo o di produzione."
"Use VIN decode if you want us to prefill the details automatically.","Use VIN decode if you want us to prefill the details automatically.","Verwenden Sie den Dekodierungscode VIN, wenn wir die Details automatisch vorausfüllen sollen.","Utilisez le code de décodage VIN si vous souhaitez que nous pré-remplissions automatiquement les informations.","استخدم VIN فك التشفير إذا كنت تريد منا ملء التفاصيل تلقائيًا.","Utilice el código VIN si desea que rellenemos los datos automáticamente.","Usa la decodifica VIN se desideri che i dettagli vengano compilati automaticamente."
"Use a different phone number","Use a different phone number","Andere Telefonnummer verwenden","Utiliser un autre numéro de téléphone","استخدام رقم هاتف مختلف","Usar otro número de teléfono","Usa un numero di telefono diverso"
"Use this for temperature-sensitive goods.","Use this for temperature-sensitive goods.","Verwenden Sie dies für temperaturempfindliche Güter.","À utiliser pour les produits sensibles à la température.","استخدم هذا المنتج للسلع الحساسة لدرجة الحرارة.","Utilice esto para productos sensibles a la temperatura.","Usa questa opzione per merci sensibili alla temperatura."
"Used","Used","Gebraucht","Utilisé","مستخدم","Usado","Usato"
"Utility","Utility","Dienstprogramm","Utilitaire","جدوى","Utilidad","Utilità"
"VIN / Chassis","VIN / Chassis","VIN / Fahrgestellnummer","VIN / Châssis","VIN / الهيكل","VIN / Chasis","VIN / Telaio"
"VIN / Chassis Number (optional)","VIN / Chassis Number (optional)","VIN / Fahrgestellnummer (optional)","VIN / Numéro de châssis (facultatif)","VIN / رقم الهيكل (اختياري)","VIN / Número de chasis (opcional)","VIN / Numero di telaio (facoltativo)"
"Van","Van","Van","Van","شاحنة","Furgoneta","Furgone"
"Variant (optional)","Variant (optional)","Variante (optional)","Variante (optionnelle)","خيار (اختياري)","Variante (opcional)","Variante (facoltativa)"
"Variant:","Variant:","Variante:","Variante:","النسخة البديلة:","Variante:","Variante:"
"Vehicle","Vehicle","Fahrzeug","Véhicule","مركبة","Vehículo","Veicolo"
"Vehicle Brand","Vehicle Brand","Fahrzeugmarke","Marque du véhicule","ماركة السيارة","Marca del vehículo","Marca del veicolo"
"Vehicle Brand (manual)","Vehicle Brand (manual)","Fahrzeugmarke (manuell)","Marque du véhicule (manuel)","ماركة السيارة (يدوي)","Marca del vehículo (manual)","Marca del veicolo (manuale)"
"Vehicle Condition","Vehicle Condition","Fahrzeugzustand","État du véhicule","حالة المركبة","Estado del vehículo","Condizioni del veicolo"
"Vehicle Details","Vehicle Details","Fahrzeugdetails","Détails du véhicule","تفاصيل المركبة","Detalles del vehículo","Dettagli del veicolo"
"Vehicle Model","Vehicle Model","Fahrzeugmodell","Modèle de véhicule","طراز المركبة","Modelo de vehículo","Modello del veicolo"
"Vehicle Model (manual)","Vehicle Model (manual)","Fahrzeugmodell (manuell)","Modèle du véhicule (manuel)","طراز المركبة (يدوي)","Modelo de vehículo (manual)","Modello del veicolo (manuale)"
"Vehicle Series / Variant (optional)","Vehicle Series / Variant (optional)","Fahrzeugbaureihe / Variante (optional)","Série/Variante du véhicule (facultatif)","سلسلة المركبات / الطراز (اختياري)","Serie/variante del vehículo (opcional)","Serie / Variante del veicolo (facoltativa)"
"Vehicle condition","Vehicle condition","Fahrzeugzustand","État du véhicule","حالة المركبة","Estado del vehículo","Condizioni del veicolo"
"Vehicle condition:","Vehicle condition:","Fahrzeugzustand:","État du véhicule :","حالة المركبة:","Estado del vehículo:","Condizioni del veicolo:"
"Vehicle details will appear here","Vehicle details will appear here","Die Fahrzeugdetails werden hier angezeigt.","Les détails du véhicule apparaîtront ici.","ستظهر تفاصيل المركبة هنا","Los detalles del vehículo aparecerán aquí.","I dettagli del veicolo appariranno qui"
"Vehicle transport","Vehicle transport","Fahrzeugtransport","Transport de véhicule","نقل المركبات","Transporte de vehículos","Trasporto veicoli"
"Vehicle type:","Vehicle type:","Fahrzeugtyp:","Type de véhicule :","نوع المركبة:","Tipo de vehículo:","Tipo di veicolo:"
"Verify and continue","Verify and continue","Bestätigen und fortfahren","Vérifier et continuer","تحقق وتابع","Verificar y continuar","Verifica e continua"
"View Status","View Status","Status ansehen","Voir le statut","عرض الحالة","Ver estado","Visualizza stato"
"Wagon / Estate","Wagon / Estate","Kombi","Break / Break","عربة / ستيشن","Familiar / Vagón","Station wagon"
"Waiting assignment","Waiting assignment","Wartezuweisung","Attribution d'attente","مهمة انتظار","Asignación en espera","In attesa di assegnazione"
"Waiting at pickup","Waiting at pickup","Warten am Abholort","En attente au point de prise en charge","في انتظار الاستلام","Esperando en el punto de recogida","In attesa al punto di ritiro"
"Waiting for Pickup","Waiting for Pickup","Warten auf Abholung","En attente d'enlèvement","بانتظار الاستلام","Esperando la recogida","In attesa del ritiro"
"Waiting for confirmation","Waiting for confirmation","Warte auf Bestätigung","En attente de confirmation","في انتظار التأكيد","Esperando confirmación","In attesa di conferma"
"Waiting for driver location updates...","Waiting for driver location updates...","Warten auf Aktualisierungen des Fahrerstandorts...","En attente des mises à jour concernant la localisation du chauffeur...","في انتظار تحديثات موقع السائق...","Esperando actualizaciones de la ubicación del conductor...","In attesa degli aggiornamenti sulla posizione dell'autista..."
"Waiting for driver location...","Waiting for driver location...","Warten auf den Fahrerstandort...","En attente de la position du chauffeur...","في انتظار تحديد موقع السائق...","Esperando la ubicación del conductor...","In attesa della posizione dell'autista..."
"Waiting for location","Waiting for location","Standort wird angefordert","En attente de localisation","في انتظار تحديد الموقع","Esperando ubicación","In attesa della posizione"
"Waiting for offers…","Waiting for offers…","Wir warten auf Angebote…","En attente d'offres…","في انتظار العروض...","Esperando ofertas…","In attesa delle offerte…"
"Waiting for route updates","Waiting for route updates","Warten auf Routenaktualisierungen","En attente de mises à jour de l'itinéraire","في انتظار تحديثات المسار","Esperando actualizaciones de ruta","In attesa degli aggiornamenti del percorso"
"Waiting for updates","Waiting for updates","Warten auf Updates","En attente de mises à jour","في انتظار التحديثات","Esperando actualizaciones","In attesa di aggiornamenti"
"Wallet","Wallet","Geldbörse","Portefeuille","محفظة","Billetera","Portafoglio"
"Wallet Top-Up","Wallet Top-Up","Guthabenaufladung","Rechargement du portefeuille","شحن المحفظة","Recarga de monedero","Ricarica portafoglio"
"Wallet activity","Wallet activity","Wallet-Aktivität","Activité du portefeuille","نشاط المحفظة","Actividad de la cartera","Attività del portafoglio"
"Wallet currency:","Wallet currency:","Währung der Geldbörse:","Devise du portefeuille :","عملة المحفظة:","Moneda de la billetera:","Valuta del portafoglio:"
"Wallet top-up","Wallet top-up","Guthaben aufladen","Rechargement du portefeuille","شحن المحفظة","recarga de monedero","Ricarica portafoglio"
"Wallet top-up is still pending. Please check your wallet again in a moment.","Wallet top-up is still pending. Please check your wallet again in a moment.","Die Aufladung Ihres Wallets ist noch ausstehend. Bitte überprüfen Sie Ihr Wallet in Kürze erneut.","Le rechargement de votre portefeuille est toujours en attente. Veuillez vérifier à nouveau votre portefeuille dans quelques instants.","لا تزال عملية شحن المحفظة قيد الانتظار. يرجى التحقق من محفظتك مرة أخرى بعد قليل.","La recarga de tu monedero aún está pendiente. Vuelve a comprobarlo en un momento.","La ricarica del portafoglio è ancora in sospeso. Controlla nuovamente il portafoglio tra qualche istante."
"We will send a six-digit verification code by SMS.","We will send a six-digit verification code by SMS.","Wir senden Ihnen per SMS einen sechsstelligen Bestätigungscode.","Nous vous enverrons un code de vérification à six chiffres par SMS.","سنرسل رمز تحقق مكون من ستة أرقام بالرمز SMS.","Te enviaremos un código de verificación de seis dígitos por SMS.","Ti invieremo via SMS un codice di verifica a sei cifre."
"Weight (kg)","Weight (kg)","Gewicht (kg)","Poids (kg)","الوزن (كجم)","Peso (kg)","Peso (kg)"
"Weight (kg, optional)","Weight (kg, optional)","Gewicht (kg, optional)","Poids (kg, facultatif)","الوزن (كجم، اختياري)","Peso (kg, opcional)","Peso (kg, facoltativo)"
"Weight:","Weight:","Gewicht:","Poids:","وزن:","Peso:","Peso:"
"Welcome back","Welcome back","Willkommen zurück","Bon retour","مرحباً بعودتك","Bienvenido de nuevo","Bentornato"
"We’ll start matching a driver as soon as the request is submitted.","We’ll start matching a driver as soon as the request is submitted.","Wir beginnen mit der Fahrersuche, sobald die Anfrage eingegangen ist.","Nous commencerons à vous trouver un chauffeur dès que votre demande sera soumise.","سنبدأ بمطابقة السائق بمجرد تقديم الطلب.","Comenzaremos a buscar un conductor tan pronto como se envíe la solicitud.","Inizieremo a cercare un autista non appena la richiesta verrà inviata."
"What do you need to transport?","What do you need to transport?","Was möchten Sie transportieren?","Que devez-vous transporter ?","ماذا تحتاج إلى نقله؟","¿Qué necesitas transportar?","Cosa devi trasportare?"
"What do you want to transport?","What do you want to transport?","Was möchten Sie transportieren?","Que voulez-vous transporter ?","ماذا تريد أن تنقل؟","¿Qué quieres transportar?","Cosa vuoi trasportare?"
"What would you like to transport today?","What would you like to transport today?","Was möchten Sie heute transportieren?","Que souhaitez-vous transporter aujourd'hui ?","ماذا تود نقله اليوم؟","¿Qué te gustaría transportar hoy?","Cosa vorresti trasportare oggi?"
"Where should the driver deliver your item?","Where should the driver deliver your item?","Wohin soll der Fahrer Ihre Sendung liefern?","Où le chauffeur doit-il livrer votre colis ?","أين يجب على السائق توصيل طلبك؟","¿Dónde debe entregar el repartidor su paquete?","Dove deve consegnare l'articolo l'autista?"
"Where should the driver pick up your item?","Where should the driver pick up your item?","Wo soll der Fahrer Ihre Sendung abholen?","Où le chauffeur doit-il récupérer votre colis ?","أين يجب على السائق استلام غرضك؟","¿Dónde debe recoger el conductor su paquete?","Dove deve ritirare l'articolo l'autista?"
"Width (cm)","Width (cm)","Breite (cm)","Largeur (cm)","العرض (سم)","Ancho (cm)","Larghezza (cm)"
"Width cm","Width cm","Breite cm","Largeur cm","العرض سم","Ancho cm","Larghezza (cm)"
"Working","Working","Arbeiten","Fonctionnement","عمل","Laboral","Funzionante"
"XL","XL","XL","XL","مقاس كبير جدًا","SG","XL"
"XS","XS","XS","XS","مقاس XS","XS","XS"
"XXL","XXL","XXL","XXL","XXL","XXL","XXL"
"Year (optional)","Year (optional)","Jahr (optional)","Année (facultatif)","السنة (اختياري)","Año (opcional)","Anno (facoltativo)"
"Year:","Year:","Jahr:","Année:","سنة:","Año:","Anno:"
"Yes","Yes","Ja","Oui","نعم","Sí","Sì"
"Yes ({{workers}} workers)","Yes ({{workers}} workers)","Ja ({{workers}}-Worker)","Oui (travailleurs {{workers}})","نعم (عمال {{workers}})","Sí (trabajadores {{workers}})","Sì ({{workers}} addetti)"
"You are not authorized to access this chat.","You are not authorized to access this chat.","Sie sind nicht berechtigt, auf diesen Chat zuzugreifen.","Vous n'êtes pas autorisé à accéder à cette conversation.","أنت غير مصرح لك بالوصول إلى هذه المحادثة.","No tienes autorización para acceder a este chat.","Non sei autorizzato ad accedere a questa chat."
"You can open this project on Android, iOS, and the web. To open the web version, press","You can open this project on Android, iOS, and the web. To open the web version, press","Sie können dieses Projekt auf Android, iOS und im Internet öffnen. Um die Webversion zu öffnen, drücken Sie","Vous pouvez ouvrir ce projet sur Android, iOS et le Web. Pour ouvrir la version Web, appuyez sur","يمكنك فتح هذا المشروع على Android وiOS والويب. لفتح نسخة الويب، اضغط على","Puedes abrir este proyecto en Android, iOS y la web. Para abrir la versión web, pulsa","Puoi aprire questo progetto su Android, iOS e Web. Per aprire la versione Web, premi"
"You can upload up to {{value0}} photos.","You can upload up to {{value0}} photos.","Sie können bis zu {{value0}} Fotos hochladen.","Vous pouvez télécharger jusqu'à {{value0}} photos.","يمكنك تحميل ما يصل إلى {{value0}} صورة.","Puedes subir hasta {{value0}} fotos.","Puoi caricare fino a {{value0}} foto."
"You do not have access to this request.","You do not have access to this request.","Sie haben keinen Zugriff auf diese Anfrage.","Vous n'avez pas accès à cette requête.","ليس لديك صلاحية الوصول إلى هذا الطلب.","No tienes acceso a esta solicitud.","Non hai accesso a questa richiesta."
"You will be notified as the driver approaches the delivery location.","You will be notified as the driver approaches the delivery location.","Sie werden benachrichtigt, sobald sich der Fahrer dem Lieferort nähert.","Vous serez averti(e) lorsque le chauffeur approchera du lieu de livraison.","سيتم إخطارك عندما يقترب السائق من موقع التسليم.","Se le notificará cuando el conductor se acerque al lugar de entrega.","Riceverai una notifica quando l'autista si avvicina al luogo di consegna."
"Your current transport requests will appear here.","Your current transport requests will appear here.","Ihre aktuellen Transportanfragen werden hier angezeigt.","Vos demandes de transport en cours apparaîtront ici.","ستظهر طلبات النقل الحالية هنا.","Tus solicitudes de transporte actuales aparecerán aquí.","Le tue richieste di trasporto attuali appariranno qui."
"Your rating","Your rating","Ihre Bewertung","Votre note","تقييمك","Tu calificación","La tua valutazione"
"Your recent transport requests will appear here.","Your recent transport requests will appear here.","Ihre letzten Transportanfragen werden hier angezeigt.","Vos demandes de transport récentes apparaîtront ici.","ستظهر طلبات النقل الأخيرة هنا.","Tus solicitudes de transporte recientes aparecerán aquí.","Le tue richieste di trasporto recenti appariranno qui."
"Your request was created. We are waiting for available drivers.","Your request was created. We are waiting for available drivers.","Ihre Anfrage wurde erstellt. Wir warten auf verfügbare Fahrer.","Votre demande a bien été enregistrée. Nous attendons la disponibilité des chauffeurs.","تم إنشاء طلبك. نحن بانتظار السائقين المتاحين.","Su solicitud ha sido creada. Estamos esperando conductores disponibles.","La tua richiesta è stata creata. Siamo in attesa di autisti disponibili."
"Your saved device is still trusted. Check your connection and try again.","Your saved device is still trusted. Check your connection and try again.","Dein gespeichertes Gerät ist weiterhin vertrauenswürdig. Prüfe die Verbindung und versuche es erneut.","Votre appareil enregistré reste approuvé. Vérifiez votre connexion et réessayez.","لا يزال جهازك المحفوظ موثوقًا. تحقق من الاتصال وحاول مرة أخرى.","Tu dispositivo guardado sigue siendo de confianza. Comprueba la conexión e inténtalo de nuevo.","Il dispositivo salvato è ancora considerato attendibile. Controlla la connessione e riprova."
"Your transport requests will appear here.","Your transport requests will appear here.","Ihre Transportanfragen werden hier angezeigt.","Vos demandes de transport apparaîtront ici.","ستظهر طلبات النقل الخاصة بك هنا.","Tus solicitudes de transporte aparecerán aquí.","Le tue richieste di trasporto appariranno qui."
"and","and","und","et","و","y","e"
"and keep fee","and keep fee","und behalten Sie die Gebühr","et conserver les frais","واحتفظ بالرسوم","y mantener la tarifa","e commissione trattenuta"
"chat.join ack payload is invalid.","chat.join ack payload is invalid.","Die Bestätigungsnutzlast von chat.join ist ungültig.","La charge utile de chat.join ack n’est pas valide.","chat.join حمولة ack غير صالحة.","La carga útil de chat.join ack no es válida.","Il payload ack di chat.join non è valido."
"chat.join timed out.","chat.join timed out.","chat.join ist abgelaufen.","La connexion à la conversation a expiré.","انتهت مهلة الدردشة.","El chat.join ha caducado.","Timeout di chat.join."
"chat.message.send ack payload is invalid.","chat.message.send ack payload is invalid.","chat.message.send ack payload ist ungültig.","La charge utile chat.message.send ack n’est pas valide.","chat.message.send حمولة ack غير صالحة.","La carga útil de confirmación de chat.message.send no es válida.","Il payload ack di chat.message.send non è valido."
"chat.message.send timed out.","chat.message.send timed out.","chat.message.send ist abgelaufen.","L'envoi du message a expiré.","انتهت مهلة إرسال رسالة الدردشة.","El envío del mensaje del chat ha expirado.","Timeout di chat.message.send."
"code to help you get started.","code to help you get started.","Code, der Ihnen den Einstieg erleichtert.","Du code pour vous aider à démarrer.","كود لمساعدتك على البدء.","Código para ayudarte a empezar.","per aiutarti a iniziare."
"component uses the powerful","component uses the powerful","Komponente nutzt das Mächtige","Le composant utilise le puissant","يستخدم المكون القوي","El componente utiliza la potente","utilizza la potente libreria"
"extra_expense.add_payment_method_button","Add payment method","Zahlungsmethode hinzufügen","Ajouter un moyen de paiement","إضافة وسيلة دفع","Agregar método de pago","Aggiungi metodo di pagamento"
"extra_expense.app_fee_label","App fee","App-Gebühr (10 %)","Frais de l'application (10 %)","رسوم التطبيق (10%)","Tarifa de la app (10%)","Commissione dell'app (10%)"
"extra_expense.approval_failed","Unable to approve the additional charge.","Die Zusatzkosten konnten nicht genehmigt werden.","Impossible d'approuver les frais supplémentaires.","تعذر الموافقة على الرسوم الإضافية.","No se pudo aprobar el cargo adicional.","Impossibile approvare i costi aggiuntivi."
"extra_expense.approve_button","Approve charge","Kosten genehmigen","Approuver les frais","الموافقة على الرسوم","Aprobar cargo","Approva costi"
"extra_expense.cancel_button","Cancel","Abbrechen","Annuler","إلغاء","Cancelar","Annulla"
"extra_expense.cash_on_delivery_notice","Pay this additional charge in cash on delivery.","Genehmigen Sie jetzt und zahlen Sie dem Fahrer bei der Lieferung bar.","Approuvez maintenant et payez le chauffeur en espèces lors de la livraison.","وافق الآن وادفع للسائق نقداً عند تسليم الطلب.","Aprueba ahora y paga al conductor en efectivo cuando se entregue el pedido.","Approva ora e paga l'autista in contanti alla consegna."
"extra_expense.cash_on_delivery_option","Cash on delivery","Bar bei Lieferung","Paiement à la livraison","الدفع نقداً عند التسليم","Pago contra entrega","Pagamento in contanti alla consegna"
"extra_expense.change_card_button","Change card","Karte ändern","Changer de carte","تغيير البطاقة","Cambiar tarjeta","Cambia carta"
"extra_expense.confirm_button","Confirm approval","Belastung bestätigen","Confirmer le débit","تأكيد الخصم","Confirmar cobro","Conferma addebito"
"extra_expense.confirm_input_helper","Enter {{keyword}} exactly as shown.","Geben Sie unten ""{{keyword}}"" ein, um fortzufahren.","Saisissez ""{{keyword}}"" dans le champ ci-dessous pour continuer.","أدخل ""{{keyword}}"" في الحقل أدناه للمتابعة.","Introduce ""{{keyword}}"" en el campo de abajo para continuar.","Inserisci ""{{keyword}}"" nel campo qui sotto per continuare."
"extra_expense.confirm_input_label","Confirmation","Bestätigungstext","Texte de confirmation","نص التأكيد","Texto de confirmación","Testo di conferma"
"extra_expense.confirm_keyword","Agree","Einverstanden","Accepte","أوافق","Acepto","CONFERMO"
"extra_expense.confirm_prompt","Type {{keyword}} to approve this additional charge.","Geben Sie ""{{keyword}}"" ein, um zu bestätigen und Ihre gespeicherte Karte sofort zu belasten.","Saisissez ""{{keyword}}"" pour confirmer et débiter immédiatement votre carte enregistrée.","اكتب ""{{keyword}}"" للتأكيد وخصم المبلغ من بطاقتك المحفوظة فوراً.","Escribe ""{{keyword}}"" para confirmar y cobrar de inmediato a tu tarjeta guardada.","Digita ""{{keyword}}"" per confermare e addebitare immediatamente l'importo sulla carta salvata."
"extra_expense.confirm_title","Approve additional charge","Zusatzkosten genehmigen","Approuver les frais supplémentaires","الموافقة على الرسوم الإضافية","Aprobar cargo adicional","Approva costi aggiuntivi"
"extra_expense.expense_amount_label","Expense amount","Kostenbetrag","Montant des frais","قيمة المصروف","Monto del gasto","Importo della spesa"
"extra_expense.no_saved_card_message","No saved card is available.","Noch keine gespeicherte Karte vorhanden.","Aucune carte enregistrée pour le moment.","لا توجد بطاقة محفوظة حتى الآن.","Todavía no hay una tarjeta guardada.","Non è ancora stata salvata alcuna carta."
"extra_expense.payment_option_label","Payment option","Zahlungsoption","Option de paiement","خيار الدفع","Opción de pago","Opzione di pagamento"
"extra_expense.processing_button","Processing...","Wird verarbeitet...","Traitement...","جارٍ المعالجة...","Procesando...","Elaborazione..."
"extra_expense.retry_button","Retry payment","Erneut versuchen","Réessayer","إعادة المحاولة","Reintentar cargo","Riprova"
"extra_expense.saved_card_label","Saved card","Gespeicherte Karte","Carte enregistrée","البطاقة المحفوظة","Tarjeta guardada","Carta salvata"
"extra_expense.saved_card_notice","The additional charge will use your saved card","Ihre gespeicherte Standardkarte wird direkt nach der Genehmigung belastet","Votre carte par défaut enregistrée sera débitée immédiatement après l'approbation","سيتم خصم الرسوم من بطاقتك الافتراضية المحفوظة مباشرة بعد الموافقة","Tu tarjeta predeterminada guardada se cobrará inmediatamente después de la aprobación","I costi verranno addebitati direttamente sulla carta predefinita salvata dopo l'approvazione."
"extra_expense.saved_card_option","Saved card","Gespeicherte Karte","Carte enregistrée","البطاقة المحفوظة","Tarjeta guardada","Carta salvata"
"extra_expense.success_message","Additional charge approved successfully.","Die Zusatzkosten wurden erfolgreich genehmigt.","Les frais supplémentaires ont été approuvés avec succès.","تمت الموافقة على الرسوم الإضافية بنجاح.","El cargo adicional se aprobó correctamente.","I costi aggiuntivi sono stati approvati con successo."
"for","for","für","pour","ل","para","per"
"hook lets you inspect what the user's current color scheme is, and so you can adjust UI colors accordingly.","hook lets you inspect what the user's current color scheme is, and so you can adjust UI colors accordingly.","Mit diesem Hook können Sie das aktuelle Farbschema des Benutzers überprüfen und die UI-Farben entsprechend anpassen.","Ce hook vous permet d'inspecter le schéma de couleurs actuel de l'utilisateur et ainsi d'ajuster les couleurs de l'interface utilisateur en conséquence.","تتيح لك خاصية الربط فحص نظام الألوان الحالي للمستخدم، وبالتالي يمكنك تعديل ألوان واجهة المستخدم وفقًا لذلك.","Este hook te permite inspeccionar cuál es la combinación de colores actual del usuario, para que puedas ajustar los colores de la interfaz de usuario en consecuencia.","consente di rilevare lo schema colori attuale dell'utente e di adattare di conseguenza i colori dell'interfaccia."
"iOS simulator","iOS simulator","iOS-Simulator","Simulateur iOS","محاكي iOS","Simulador iOS","Simulatore iOS"
"immediately.","immediately.","sofort.","immédiatement.","في الحال.","inmediatamente.","immediatamente."
"in the terminal running this project.","in the terminal running this project.","im Terminal, auf dem dieses Projekt ausgeführt wird.","dans le terminal exécutant ce projet.","في المحطة التي تدير هذا المشروع.","en la terminal donde se ejecuta este proyecto.","nel terminale in cui è in esecuzione il progetto."
"joinTripRoom ack payload is invalid.","joinTripRoom ack payload is invalid.","Die JoinTripRoom-Bestätigungsnutzlast ist ungültig.","La charge utile joinTripRoom ack n’est pas valide.","حمولة ack joinTripRoom غير صالحة.","La carga útil de confirmación de joinTripRoom no es válida.","Il payload ack di joinTripRoom non è valido."
"joinTripRoom timed out.","joinTripRoom timed out.","joinTripRoom ist abgelaufen.","La connexion à TripRoom a expiré.","انتهت مهلة الانضمام إلى غرفة الرحلات.","joinTripRoom ha caducado.","Timeout di joinTripRoom."
"library to animate opening this hint.","library to animate opening this hint.","Bibliothek, um das Öffnen dieses Hinweises zu animieren.","bibliothèque pour animer l’ouverture de cet indice.","مكتبة لتحريك فتح هذا التلميح.","biblioteca para animar la apertura de esta sugerencia.","per animare l'apertura di questo suggerimento."
"payment_method.cancel_button","Cancel","Abbrechen","Annuler","إلغاء","Cancelar","Annulla"
